Sample,B0VSB1_Cor,B0VSB1_P,B0VSmSCV2_Cor,B0VSmSCV2_P,B0VSpSCV2_Cor,B0VSpSCV2_P
9145,0.968987549052775,2.1446179719507e-07,0.611868775091919,2.1446179719507e-07,0.647593251776784,2.1446179719507e-07
9144,0.986378416661434,3.60996700105127e-09,0.588136852314327,3.60996700105127e-09,0.648439063174918,3.60996700105127e-09
9143,0.936550202326912,7.27632965312121e-06,0.664218975514676,7.27632965312121e-06,0.643717246262832,7.27632965312121e-06
9142,0.964348333463808,4.27235741735901e-07,0.547018438042723,4.27235741735901e-07,0.644834480314415,4.27235741735901e-07
9141,0.965618365909479,3.5713519838724e-07,0.537691530956457,3.5713519838724e-07,0.695368081353005,3.5713519838724e-07
9140,0.968792633923672,2.21213839120271e-07,0.488621497793573,2.21213839120271e-07,0.703249959544533,2.21213839120271e-07
9139,0.980721149937063,2.03072087064124e-08,0.700428265221134,2.03072087064124e-08,0.668797267156982,2.03072087064124e-08
9138,0.951141075095137,2.01963143953674e-06,0.491626957341061,2.01963143953674e-06,0.582606625877176,2.01963143953674e-06
9137,0.967629125847991,2.65122368144616e-07,0.594341153755043,2.65122368144616e-07,0.746399929529934,2.65122368144616e-07
9136,0.972159492158543,1.25712126695532e-07,0.682629147481619,1.25712126695532e-07,0.691184634319163,1.25712126695532e-07
9135,0.964988539246887,3.90651287805946e-07,0.660428313148197,3.90651287805946e-07,0.799709032997582,3.90651287805946e-07
9134,0.97243349924212,1.19701628536491e-07,0.625074582618993,1.19701628536491e-07,0.71881108602145,1.19701628536491e-07
9133,0.963470445730576,4.81776914758946e-07,0.508773426099891,4.81776914758946e-07,0.673967109426188,4.81776914758946e-07
9132,0.943495779141954,4.12391942189903e-06,0.766244559325937,4.12391942189903e-06,0.72796981837535,4.12391942189903e-06
9131,0.931160361326869,1.08380782100288e-05,0.44752296062948,1.08380782100288e-05,0.665140765867226,1.08380782100288e-05
9130,0.968342865690963,2.3744072919255e-07,0.587208211675487,2.3744072919255e-07,0.617705593027632,2.3744072919255e-07
9129,0.920356210036802,2.20532163428929e-05,0.568733092832014,2.20532163428929e-05,0.606774012059232,2.20532163428929e-05
9128,0.971199810001226,1.48684592413218e-07,0.483810325952491,1.48684592413218e-07,0.672457420700391,1.48684592413218e-07
9127,0.93299657827845,9.49748360871477e-06,0.697806425392623,9.49748360871477e-06,0.619326887667255,9.49748360871477e-06
9126,0.931945040107119,1.02480539288292e-05,0.514127249375224,1.02480539288292e-05,0.716314733448666,1.02480539288292e-05
9125,0.965919174550416,3.41956776584325e-07,0.569699225862755,3.41956776584325e-07,0.725401516124018,3.41956776584325e-07
9124,0.957901090920943,9.70255086942901e-07,0.463610029128267,9.70255086942901e-07,0.654962777669798,9.70255086942901e-07
9123,0.944593559869699,3.74557770190713e-06,0.411818723151898,3.74557770190713e-06,0.635743126293688,3.74557770190713e-06
9122,0.991082739901029,4.37463900944104e-10,0.544815691797284,4.37463900944104e-10,0.71351054266014,4.37463900944104e-10
9121,0.941343712340638,4.95320195614947e-06,0.695938228854935,4.95320195614947e-06,0.619284986783439,4.95320195614947e-06
9120,0.979307179456082,2.88610249748715e-08,0.654278897408174,2.88610249748715e-08,0.751024158253433,2.88610249748715e-08
9119,0.780833041860724,0.002719769826366,0.5569913833477,0.002719769826366,0.590293227643178,0.002719769826366
9118,0.986119827625926,3.96416216963457e-09,0.68644018896846,3.96416216963457e-09,0.73731320173554,3.96416216963457e-09
9117,0.883353153118467,0.000139398643447263,0.642215578102693,0.000139398643447263,0.679409983246126,0.000139398643447263
9116,0.932057893328773,1.01653277287404e-05,0.674345956487671,1.01653277287404e-05,0.625288067657187,1.01653277287404e-05
9115,0.957097276493107,1.06503690448321e-06,0.576258958991947,1.06503690448321e-06,0.684817454725698,1.06503690448321e-06
9114,0.900665620974415,6.43364487769283e-05,0.358569376886472,6.43364487769283e-05,0.569358088594444,6.43364487769283e-05
9113,0.890258010568296,0.000103987081578035,0.63868631206305,0.000103987081578035,0.65284866030444,0.000103987081578035
9112,0.927414850147205,1.40349993809729e-05,0.589290339838659,1.40349993809729e-05,0.710146468882548,1.40349993809729e-05
9111,0.870770222678844,0.000227590558912693,0.585935297010042,0.000227590558912693,0.609046685899549,0.000227590558912693
9110,0.943674168839992,4.06046444919171e-06,0.507026524227124,4.06046444919171e-06,0.602931890561769,4.06046444919171e-06
9109,0.966517225739329,3.13304318817636e-07,0.52803970260442,3.13304318817636e-07,0.627844989985725,3.13304318817636e-07
9108,0.904072445651568,5.43546534439751e-05,0.427017401863054,5.43546534439751e-05,0.587336836083282,5.43546534439751e-05
9107,0.946248214229423,3.22778868968311e-06,0.298644546133381,3.22778868968311e-06,0.621059597730237,3.22778868968311e-06
9106,0.949362942339964,2.40759287228107e-06,0.664912054241923,2.40759287228107e-06,0.630493379749668,2.40759287228107e-06
9105,0.965293904588293,3.74102739220016e-07,0.578837634340599,3.74102739220016e-07,0.735815303199673,3.74102739220016e-07
9104,0.880787682635293,0.000154723206759282,0.621978989496474,0.000154723206759282,0.751014149827401,0.000154723206759282
9103,0.962279123247074,5.64492737930282e-07,0.469642761515133,5.64492737930282e-07,0.67719936056557,5.64492737930282e-07
9102,0.943698869152402,4.05173960952372e-06,0.779758014343235,4.05173960952372e-06,0.714207161338708,4.05173960952372e-06
9101,0.923933478889657,1.76338947245202e-05,0.588642615620245,1.76338947245202e-05,0.670510424883226,1.76338947245202e-05
9100,0.979618817873014,2.67662476110268e-08,0.609950520312028,2.67662476110268e-08,0.738406309509577,2.67662476110268e-08
9099,0.983757444270177,8.6642132393122e-09,0.662018292505628,8.6642132393122e-09,0.728523384489788,8.6642132393122e-09
9098,0.963613032439238,4.72561240168683e-07,0.636353630559417,4.72561240168683e-07,0.726476178080984,4.72561240168683e-07
9097,0.946708997797104,3.0942150690881e-06,0.467689014432881,3.0942150690881e-06,0.624243029157588,3.0942150690881e-06
